slug,name,logoPath,description,website,docs,x,github,discord,telegram,linkedin,supportEmail,starred,tag
claimcrypto,ClaimCrypto,claimcrypto.png,Crypto faucet platform distributing small amounts of ETH and LTC via FaucetPay with instant payouts and additional earning options through shortlinks and referrals.,"https://claimcrypto.in/",,,,,,,,FALSE,
clave,Clave,clave.png,"Self-custodial smart wallet app built on ZKsync Era, using account abstraction and biometric security for investing, earning yield, and spending crypto with a simplified user experience.","https://www.getclave.com/","https://docs.getclave.com/en/welcome-to-clave",getclave,getclave,invite/getclave,getclave,company/getclave,info@clave.team,FALSE,
clear-evm,Clear EVM,clear-evm.png,"Privacy-focused, open-source EVM browser extension wallet with MetaMask API compatibility, local-only key storage, contract ABI interaction support, and zero tracking.","https://clear-wallet.flashsoft.eu/","https://clear-wallet.flashsoft.eu/",,andrei0x309/clear-wallet,,,,,FALSE,
codeslaw,Codeslaw,codeslaw.png,Developer tool and search engine for discovering and analyzing smart contracts and contract interactions across blockchains.,"https://www.codeslaw.app/",,,,,,,,FALSE,
codex,Codex,codex.png,"Real-time enriched blockchain data API covering 70M+ tokens and 80+ networks with token pricing, holders data, and prediction markets.","https://www.codex.io/","https://docs.codex.io/",trycodex,Codex-Data,9ZB7zcWuBY,CodexData,company/codex-data-inc,hello@codex.io,FALSE,
coin-space,Coin Space,coin-space.png,"Self-custodial multicurrency crypto wallet founded in 2015, supporting BTC, ETH, XRP, Monero, Solana, and 20+ other assets across mobile and desktop.","https://coin.space/","https://support.coin.space/hc/en-us",CoinAppWallet,CoinSpace,,,company/coin-space,support@coin.space,FALSE,
coinbase,Coinbase,coinbase.png,"US-headquartered cryptocurrency exchange and ecosystem offering retail and institutional trading, the Coinbase Developer Platform (CDP) with APIs for wallets, smart accounts, paymaster, and onchain data, and the Base Layer 2 network.","https://www.coinbase.com/","https://docs.cdp.coinbase.com/paymaster/introduction/welcome",coinbase,coinbase,,,company/coinbase,,FALSE,
coindoog,CoinDoog,coindoog.png,Cryptocurrency faucet service offering free tokens and gaming rewards for blockchain users,"https://coindoog.com/",,,,,,,,FALSE,
coinexams,CoinExams,coinexams.png,"Crypto utility scoring and comparison platform that rates cryptocurrencies using objective metrics including transfer fees, confirmation speed, supply cap, and decentralization indicators.","https://coinexams.com/",,,CoinExams,,CoinExamsChat,company/coinexams,,FALSE,
coinflow,Coinflow,coinflow.png,"Fiat-to-crypto payment processing platform for businesses, gaming, and marketplace integrations","https://coinflow.cash/","https://docs.coinflow.cash/",coinflowlabs,,,,company/coinflow-labs,support@coinflow.cash,FALSE,
coingate,CoinGate,coingate.png,"Regulated cryptocurrency payment gateway for businesses, MiCA-licensed in the EU, enabling acceptance of BTC, USDC, and 10+ crypto assets globally with settlement in fiat or stablecoins and crypto payout support.","https://coingate.com/","https://developer.coingate.com/",CoinGatecom,coingate,,,company/coingate,support@coingate.com,FALSE,
coingecko,CoinGecko,coingecko.png,"It is a leading independent cryptocurrency data aggregator and analytics provider, established in 2014 to democratize access to crypto market data","https://www.coingecko.com/","https://docs.coingecko.com/",coingecko,coingecko,EhrkaCH,coingecko,company/coingecko,,FALSE,
coinglass,Coinglass,coinglass.png,"Crypto market data platform providing derivatives analytics including open interest, funding rates, liquidation data, and order flow across major exchanges.","https://www.coinglass.com/","https://docs.coinglass.com/",coinglass_com,,coinglass,Coinglass,,contact@coinglass.com,FALSE,
coinmarketcap,CoinMarketCap,coinmarketcap.png,"Major cryptocurrency data platform tracking 20,000+ coins across 600+ exchanges, providing real-time prices, market caps, trading volumes, global market data, and blockchain analytics via REST API and hosted MCP server.","https://coinmarketcap.com/","https://coinmarketcap.com/api/documentation/v1/",CoinMarketCap,,,CoinMarketCapAnnouncements,company/coinmarketcap,,FALSE,
coinme,Coinme,coinme.png,Provides wallet solutions for Web3 developers and users.,"https://coinme.com/","https://docs.coinme.com/",,,,,,,FALSE,
coinomi,Coinomi,coinomi.png,"Multi-chain non-custodial wallet for iOS, Android, and desktop supporting Bitcoin and major altcoins, with no KYC, no IP tracking, and zero send/receive fees. Operating since 2014.","https://www.coinomi.com/","https://support.coinomi.com/",coinomiwallet,Coinomi,,coinomi_official,company/coinomi,,FALSE,
coinpaprika,Coinpaprika,coinpaprika.png,"Cryptocurrency market research platform tracking 58,000+ tokens across 360+ exchanges, providing historical price data, exchange rankings, coin market capitalization data, and a developer API.","https://coinpaprika.com/","https://docs.dexpaprika.com/",coinpaprika,coinpaprika,DhJge5TUGM,coinpaprika,,,FALSE,
coinsdo,CoinsDo,coinsdo.png,"Wallet-as-a-Service infrastructure for institutional digital asset management, providing SDKs, APIs, and RPC nodes for secure multichain custody and trading.","https://www.coinsdo.com/",,CoinsDogroup,coinsdo,,,company/coinsdo,,FALSE,
cometh,Cometh,cometh.png,DeFi-native Banking-as-a-Service (BaaS) infrastructure for launching regulated crypto services via unified API and smart wallet,"https://cometh.io/","https://docs.cometh.io/",Cometh,cometh-hq,,,company/comethstudio,,FALSE,
conduit,Conduit,conduit.png,"Managed blockchain infrastructure platform providing appchain deployment and ERC-4337 account abstraction bundler services for EVM ecosystems.","https://www.conduit.xyz/","https://docs.conduit.xyz/account-abstraction/conduit-bundler",,conduitxyz,,,,,FALSE,
connectkit,ConnectKit,connectkit.png,React component library for connecting cryptocurrency wallets to dApps with support for popular connectors and chains,"https://family.co/connectkit","https://family.co/docs/connectkit",family,family,,,,support@family.co,FALSE,
connext,Connext,connext.png,"Modular cross-chain protocol for securely passing funds and data between blockchains, enabling developers to build trust-minimized cross-chain applications without additional trust assumptions.","https://www.connext.network/","https://docs.connext.network/",Connext,connext,pef9AyEhNz,,,,FALSE,
consensys-diligence,ConsenSys,consensys-diligence.png,It is comprehensive smart contract audit service that helps everyone from startups to enterprises launch and maintain their Ethereum blockchain applications,"https://diligence.security/",,ConsensysAudits,ConsenSysDiligence,,,company/consensys-diligence,,FALSE,
cookie3,Cookie3,cookie3.png,"Web3 analytics and marketing intelligence platform providing on-chain and off-chain user analytics, KOL performance tracking, and community engagement tools for crypto projects.","https://www.cookie3.com/","https://docs.cookie3.com/cookie3-analytics",cookie3,,,,company/cookie3,,FALSE,
coolwallet,Coolwallet,coolwallet.png,"Credit-card-sized hardware wallet supporting Bitcoin, Ethereum, Solana, and EVM assets, paired with a self-custodial mobile app for staking and trading. Operating since 2014.","https://www.coolwallet.io/","https://help.coolwallet.io/en/support/home",coolwallet,,,,,,FALSE,
core-dao,Core DAO,core-dao.png,"Layer-1 blockchain network using Satoshi Plus consensus (Bitcoin mining hash power + delegated staking), with EVM-compatible smart contracts and developer tooling.","https://coredao.org/","https://docs.coredao.org/",,coredao-org,,,,,FALSE,
covalent,Covalent,covalent.png,"Blockchain data infrastructure providing structured onchain data APIs across 100+ networks via the GoldRush SDK, with event decoders, UI kits, and historical archive access.","https://www.covalenthq.com/","https://www.covalenthq.com/docs/introduction",Covalent_HQ,covalenthq,8ZWgu2pWY4,CovalentHQ,,,FALSE,
crazyrabbitltc,CrazyRabbitLTC,crazyrabbitltc.png,MCP (Model Context Protocol) server providing Ethereum blockchain data tools via Etherscan API for Claude and other AI clients,"https://github.com/crazyrabbitLTC/mcp-etherscan-server","https://github.com/crazyrabbitLTC/mcp-etherscan-server",,crazyrabbitLTC/mcp-etherscan-server,,,,,FALSE,
cronoscan,CronoScan,cronoscan.png,"Block explorer and analytics platform for Cronos by Etherscan, tracking transactions, addresses, tokens, and smart contracts on the Cronos EVM network.","https://cronoscan.com/","https://docs.etherscan.io/introduction",,,,,,,FALSE,
crosscurve,CrossCurve,crosscurve.png,"Cross-chain DeFi MetaLayer providing a DEX, token bridge, consensus bridge, and API for any-to-any token swaps across 20+ networks, with cross-chain oracle messaging and white-label infrastructure.","https://crosscurve.fi/","https://docs.crosscurve.fi",crosscurvefi,eywa-protocol,,CrossCurveMetaLayer,,,FALSE,
crossmint,Crossmint,crossmint.png,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users","https://www.crossmint.com/","https://docs.crossmint.com/",crossmint,crossmint,,,company/crossmint-io,,FALSE,
crust-network,Crust Network,crust-network.png,"It is a purpose built layer 1 blockchain providing composable cloud storage solutions for developers, builders and end-users of all ecosystems","https://crust.network/",,,,,,,,FALSE,
crypto-apis,Crypto APIs,crypto-apis.png,"Blockchain data infrastructure provider offering unified REST APIs for address activity, transaction history, block data, and transaction simulation across Bitcoin, Ethereum, Polygon, and 10+ other chains","https://cryptoapis.io/","https://developers.cryptoapis.io/v-2.2024-12-12-175/RESTapis/general-information/overview",CryptoApis,CryptoAPIs-io/cryptoapis-mcp-hub,,cryptoapis,company/cryptoapis,,FALSE,
crypto-com,Crypto.com,crypto-com.png,"Cryptocurrency exchange and financial services platform offering a non-custodial DeFi Wallet, centralized exchange, Visa card, and staking, supporting hundreds of assets across multiple blockchains.","https://crypto.com/","https://pay-docs.crypto.com/#overview",cryptocom,crypto-com,cryptocom,,company/cryptocom,,FALSE,
cryptoquant,CryptoQuant,cryptoquant.png,"On-chain analytics platform providing real-time and historical blockchain data, exchange flow metrics, market indicators, and customizable dashboards for institutional and professional crypto market participants.","https://cryptoquant.com/","https://userguide.cryptoquant.com",cryptoquant_com,,,,company/crypto-quant,,FALSE,
cryptoslam,Cryptoslam,cryptoslam.png,"Multi-chain NFT data aggregator tracking real-time and historical sales rankings, market analytics, and portfolio data across 15+ blockchain networks.","https://www.cryptoslam.io/","https://cryptoslam.gitbook.io/docs",cryptoslamio,,tfyqQrbtX6,,,info@cryptoslam.io,FALSE,
ctrl,Ctrl,ctrl.png,"Non-custodial multichain cryptocurrency wallet (formerly XDEFI) supporting 2,500+ blockchains and 10M+ assets, with hardware wallet support, NFT gallery, and DApp connectivity.","https://ctrl.xyz/","https://developers.ctrl.xyz/",ctrl_wallet,,w8sZkc7Nxf,ctrl_wallet,,info@ctrl.xyz,FALSE,
curvegrid,Curvegrid,curvegrid.png,"Blockchain middleware platform (MultiBaas) providing REST APIs, SDKs, and a web UI for smart contract deployment, event indexing, transaction management, and cloud wallet integration on EVM chains.","https://www.curvegrid.com/","https://docs.curvegrid.com/",curvegridinc,curvegrid,hCz4PMUsAG,curvegrid,,,FALSE,
cwallet,Cwallet,cwallet.png,"All-in-one Web3 wallet and trading platform supporting multi-chain asset management, swaps, fiat purchases, and yield products.","https://cwallet.com/","https://docs.cwallet.com/",CwalletOfficial,,PuTheJ7RcH,cwallet_com_official,company/cwalletofficial,support@cwallet.com,FALSE,
cybrid,Cybrid,cybrid.png,"Stablecoin and fiat payment orchestration platform providing developer APIs for KYC/KYB, bank rails, and multi-chain stablecoin on-ramp and off-ramp infrastructure.","https://cybrid.xyz/","https://docs.cybrid.xyz/",cybrid_xyz,Cybrid-app,,,,support@cybrid.xyz,FALSE,
cyfrin,Cyfrin,cyfrin.png,"Web3 security company providing smart contract audits, competitive security reviews, open-source analysis tools, vulnerability research, developer education, and professional certifications.","https://www.cyfrin.io/","https://docs.cyfrin.io/",cyfrin,Cyfrin,cyfrin,,company/cyfrin,,FALSE,
cypherock-x1,Cypherock X1,cypherock-x1.png,"Hardware wallet that distributes a seed phrase across four tamper-proof cards using a secret-sharing scheme, eliminating a single point of failure for private key storage and supporting non-custodial inheritance.","https://www.cypherock.com/","https://docs.cypherock.com/",CypherockWallet,Cypherock,,cypherock,company/cypherockwallet,,FALSE,
cyvers,Cyvers,cyvers.png,"Web3 security platform for digital asset threat prevention, providing real-time monitoring, attack detection, and compliance tooling for blockchain applications.","https://cyvers.ai/","https://docs.cyvers.ai/",,,,,,,FALSE,
d-cent,D'CENT,d-cent.png,"Hardware wallet lineup including a biometric-authenticated cold wallet and a card-type wallet, supporting 100+ mainnets and 4,800+ cryptocurrencies, with a companion mobile app for portfolio management and DApp browsing.","https://www.dcentwallet.com/en","https://dev-docs.dcentwallet.com/",DCENTwallets,DcentWallet,,,company/dcentwallet,,FALSE,
daedalus-mainnet,Daedalus Mainnet,daedalus-mainnet.png,"Open-source full-node Cardano wallet developed by IOHK, providing secure ADA storage, stake pool delegation, and complete on-device blockchain validation on desktop.","https://daedaluswallet.io/",,,,,,,,FALSE,
dapp-launchpad,Dapp Launchpad,dapp-launchpad.png,"CLI tool for quickly initializing fully-integrated EVM-compatible dApps, managing development environments, and deploying smart contracts and frontends to production.",,,,0xPolygon/dapp-launchpad,,,,,FALSE,
dappkit,Dappkit,dappkit.png,Simplified Web3 development toolkit providing scaffolding and tools for starting blockchain projects quickly.,"https://github.com/layerx-labs/dappkit",,,,,,,,FALSE,
dappradar,DappRadar,dappradar.png,"Decentralized application discovery and analytics platform tracking DApps across multiple blockchains, providing rankings, usage metrics, market data, and portfolio tracking for Web3 users.","https://dappradar.com/",,DappRadar,,dappradar,,,,FALSE,
dapprovals,dApprovals,dapprovals.png,Crypto security service providing transaction approval management and active risk mitigation for Web3 applications,"https://dapproval.com/",,,,,,,,FALSE,
datacurve,DataCurve,datacurve.png,"Web3 fan identity platform using AURA Smart Profiles to unify fan data across ticketing, merchandise, content, and engagement, with AI-powered insights and revenue measurement for sports and entertainment organizations.","https://datacurve.io/",,,,,,,,FALSE,
db3-js,db3.js,db3-js.png,"JavaScript API and toolkit for DB3 Network, enabling developers to write and query JSON documents in decentralized Web3 applications.","https://db3.network/","https://docs.db3.network/",Db3Network,dbpunk-labs,sgY2bbFCzr,,,,FALSE,
debridge,deBridge,debridge.png,"Cross-chain interoperability protocol enabling secure asset swaps, token bridging, and arbitrary cross-chain logic execution across 20+ blockchains with a unified API.","https://debridge.com/","https://docs.debridge.com/",deBridge,debridge-finance,debridge,deBridge_finance,company/debridge-finance,,FALSE,
decubate-tms,Decubate TMS,decubate-tms.png,"No-code platform for Web3 projects to launch, manage, and scale tokens with tools for distribution, vesting, and governance","https://tms.finance/",,decubate,,,decubate,company/decubate,,FALSE,
dedaub,Dedaub,dedaub.png,"Security research company providing a smart contract analysis platform with automated vulnerability detection, decompilation, and real-time monitoring for EVM chains.","https://dedaub.com/","https://docs.dedaub.com/",dedaub,Dedaub,,,company/dedaub,,FALSE,
defi,DeFi,defi.png,"Open-source smart contract system by Zerion for executing ERC20 token swaps via a unified Router and querying user asset balances across DeFi protocols such as Aave, Maker, and Compound.",,,,zeriontech/defi-sdk,,,,,FALSE,
defi-builder,DeFi Builder,defi-builder.png,"A codeless platform for building decentralized applications and DeFi protocols, providing pre-configured modules for tokens, exchanges, farming, launchpads, and NFT integrations","https://app.defibuilder.com/","https://docs.defibuilder.com/",thedefibuilder,thedefibuilder,,,company/defi-builder,,FALSE,
defillama,DeFiLlama,defillama.png,"Open-source DeFi analytics platform tracking TVL, fees, revenue, and trading volume across 7,000+ protocols and 500+ chains, with free public APIs and historical data.","https://defillama.com/","https://docs.llama.fi/",DefiLlama,DefiLlama,defillama,,,,FALSE,
defiway-bridge,Defiway.Bridge,defiway-bridge.png,"Secure crypto services platform offering a cross-chain token bridge, non-custodial wallet, and cryptocurrency payroll solutions for individuals and businesses.","https://defiway.com/",,Defiwayapp,,Uvc8h73ecU,defiwayapp,,,FALSE,
defly,Defly,defly.png,"Algorand-native DeFi wallet providing token management, in-app swaps, and portfolio analytics tailored for the Algorand ecosystem.","https://defly.app/","https://defly.gitbook.io/defly-manual",deflyapp,,,deflyapp,,,FALSE,
degen,Degen,degen.png,"Non-custodial mobile Web3 wallet offering instant DeFi loans via Aave, cross-chain swaps via deBridge, and NFT support on iOS and Android.","https://degenforest.com/",,0xdegenforest,,ATES8Kcwd8,degenforestdao,,degen@degenweb3.com,FALSE,
dex-guru,Dex.Guru,dex-guru.png,"DEX analytics platform aggregating real-time price charts and trade history from AMM protocols across multiple blockchains, with token discovery and on-chain market intelligence.","https://dex.guru/","https://docs.dex.guru/",dexguru,dex-guru,,dexguru,,,FALSE,
dexscreener,DexScreener,dexscreener.png,"Multi-chain DEX analytics platform tracking real-time token prices, liquidity pools, and trading activity across 100+ blockchains using a custom on-chain indexer, with a free developer API.","https://dexscreener.com/","https://docs.dexscreener.com/",dexscreener,dexscreener,dexscreener,,,,FALSE,
dfns,Dfns,dfns.png,"An institutional-grade Wallet-as-a-Service (WaaS) and digital asset infrastructure platform offering secure, programmable wallet management across dozens of blockchains.","https://www.dfns.co/","https://docs.dfns.co/",dfnsHQ,dfns,,,company/dfnshq,,FALSE,
dia,DIA,dia.png,"Customizable oracle infrastructure providing verifiable price feeds, intrinsic fair value data, and reserve verification for DeFi protocols and institutions across multiple chains.","https://www.diadata.org/","https://www.diadata.org/docs/home",DIAdata_org,diadata-org,RjHBcZ9mEH,diadata_org,company/diadata-org,contact@diadata.org,FALSE,
dipdup,dipDup,dipdup.png,"Modular and extensible Web3 indexing framework providing high-level abstractions, preprocessed data streams, and code generation tools for building performant blockchain APIs.","https://dipdup.io/","https://dipdup.io/docs",dipdup_io,dipdup-io,aG8XKuwsQd,,,,FALSE,
drpc,dRPC,drpc.png,"AI-powered decentralized RPC infrastructure providing modular, high-availability blockchain API access with monitoring and auto-failover for dApps and chains.","https://drpc.org/","https://drpc.org/docs",drpcorg,drpcorg,,,,,FALSE,
dune,Dune,dune.png,"Onchain data platform for blockchain analytics and application development, providing SQL-based query tools, community dashboards, and data engineering pipelines across hundreds of blockchain datasets.","https://dune.com/","https://docs.dune.com/",dune,duneanalytics,ErrzwBz,dune_updates,company/dune-analytics,support@dune.com,FALSE,
dwellir,Dwellir,dwellir.png,"Web3 infrastructure provider offering APIs for 150+ blockchains, with robust node hosting and API gateway services for dApp developers and blockchain teams.","https://www.dwellir.com/","https://www.dwellir.com/docs",DwellirOfficial,dwellir-public,,dwellir,company/dwellir,hello@dwellir.com,FALSE,
dynamic,Dynamic,dynamic.png,"Wallet infrastructure platform providing embedded non-custodial wallets and developer SDKs for fintech and crypto apps, supporting trading, payments, and identity with institutional-grade key management.","https://www.dynamic.xyz/","https://www.dynamic.xyz/docs/overview/introduction/welcome",dynamic_xyz,dynamic-xyz,,,company/dynamiclabs,hello@dynamic.xyz,FALSE,
dyor-io,DYOR.io,dyor-io.png,"TON-focused crypto analytics platform and API for token analysis, trust scoring, wallet monitoring, and market research.","https://dyor.io/","https://docs.dyor.io/technical-guides/introduction",dyorninja,,,dyorninja,,,FALSE,
echidna,Echidna,echidna.png,"Open-source property-based smart contract fuzzer developed by Trail of Bits, using coverage-guided input generation to detect invariant violations in Solidity and Vyper contracts.",,"https://secure-contracts.com/program-analysis/echidna/index.html",,crytic/echidna,,,,contact@trailofbits.com,FALSE,
eco-portal,Eco Portal,eco-portal.png,"Stablecoin network providing programmable cross-chain routing, bridging, and wallet automation across major blockchains, with best-in-class liquidity and developer APIs for stablecoin products.","https://eco.com/","https://eco.com/docs/getting-started/introduction/what-is-eco",eco,eco,eco,,company/ecoproto,,FALSE,
ecoin,Ecoin,ecoin.png,"Self-custody multi-chain crypto wallet supporting storage, buying, selling, swapping, bridging, and asset transfers, with hardware-level security on compatible Android devices.","https://ecoinwallet.org/",,ecoin_wallet,ecoin-finance,,ecoin_wallet,,contact@ecoinwallet.org,FALSE,
edge,Edge,edge.png,"Non-custodial mobile cryptocurrency wallet supporting multi-asset storage, in-app exchange, and fiat buy/sell across multiple blockchains, using a username/password account model.","https://edge.app/",,EdgeWallet,EdgeApp,,,company/edgeapp,support@edge.app,FALSE,
eldorado,El Dorado,eldorado.png,"Stablecoin-powered financial platform for Latin America offering a USD account, peer-to-peer exchange, cards, crypto services, savings products, and developer on-ramp and off-ramp integrations.","https://eldorado.io/","https://api.eldorado.io/",eldoradoio,eldoradoio,,,company/eldoradoio,soporte@eldorado.io,FALSE,
ellipal,Ellipal,ellipal.png,"Air-gapped hardware cold wallet secured via QR code signing, supporting 10,000+ tokens across multiple blockchains with a companion mobile app for transaction management.","https://www.ellipal.com/",,ellipal,,,,,,FALSE,
embark,Embark,embark.png,"Framework for building serverless decentralized applications on Ethereum, IPFS, and other platforms, with integrated tools for smart contract development, testing, and deployment.",,,consensys,embarklabs/embark,,,,,FALSE,
enkrypt,Enkrypt,enkrypt.png,"Open-source multichain browser extension wallet by MyEtherWallet, supporting Ethereum, Polkadot, Bitcoin, Solana, and 70+ blockchains with a single recovery phrase.","https://www.enkrypt.com/","https://myetherwallet.gitbook.io/enkrypt-documentation",,,,,,,FALSE,
enosys,Enosys,enosys.png,"Blockchain R&D company building a DeFi suite on Flare and Songbird networks, including a DEX, collateralized lending protocol, yield farms, and a cross-chain bridge.","https://www.enosys.global/",,enosys_global,flrfinance,enosys-global,enosys_global,,,FALSE,
ensjs,ENSjs,ensjs.png,"JavaScript library for interacting with the Ethereum Name Service, built on viem with support for ENS name resolution, record management, and registration.",,,ensdomains,ensdomains/ensjs,,,,,FALSE,
enso,Enso,enso.png,"API platform converting high-level DeFi operation specifications into executable calldata, with a Route API for optimized cross-chain swap routing and a Bundle API for multi-step DeFi workflows.","https://www.enso.build/","https://docs.enso.build/home",EnsoBuild,EnsoBuild,,enso_shortcuts,,,FALSE,
envio,Envio,envio.png,"High-performance blockchain indexing framework for EVM, Solana, and Fuel chains, with real-time event streaming, multichain queries, and automatic reorg handling.","https://envio.dev/","https://docs.envio.dev/",envio_indexer,enviodev,,,company/envio_indexer,,FALSE,
eternl,Eternl,eternl.png,"Cardano light wallet available as a browser extension and mobile app for managing ADA, native tokens, and Cardano NFTs.","https://eternl.io/",,,,,,,,FALSE,
eth-calldata-decoder,ETH Calldata Decoder,eth-calldata-decoder.png,"It is a developer tool that translates raw, hexadecimal transaction input data i.e calldata into a human-readable format","https://calldata.swiss-knife.xyz/decoder",,swissknifexyz,swiss-knife-xyz/swiss-knife,w9uDexf9vR,,,,FALSE,
ethereum-ecosystem,Ethereum Ecosystem,ethereum-ecosystem.png,"Discovery directory for over 1,000 dApps, tools, and services across Ethereum and its Layer 2 networks, with category browsing, chain filtering, and curated project spotlights.","https://www.ethereum-ecosystem.com/",,,,,,,,FALSE,
ethereum-etl,Ethereum ETL,ethereum-etl.png,"Command-line tool and Python library for converting Ethereum blockchain data into CSV files, JSON, or relational databases, covering blocks, transactions, token transfers, and contract data.",,,,blockchain-etl/ethereum-etl,,,,,FALSE,
ethereumjs,EthereumJS,ethereumjs.png,"Open-source TypeScript Ethereum execution-layer project providing modular EVM, VM, transaction, block, chain-configuration, state, and utility libraries.","https://ethereumjs.github.io/",,EFJavaScript,ethereumjs/ethereumjs-monorepo,TNwARpR,,,,FALSE,
ethers-js,Ethers.js,ethers-js.png,"Complete and compact JavaScript/TypeScript library for interacting with the Ethereum blockchain and its ecosystem, used for building dApps, wallets, and scripts that read and write to the blockchain","https://ethers.org/","https://docs.ethers.org/v6/",ethersproject,ethers-io/ethers.js,,,,,FALSE,
etherscan,Etherscan,etherscan.png,"Block explorer and analytics platform for Ethereum with transaction verification, smart contract interaction, and blockchain data tools","https://etherscan.io/","https://docs.etherscan.io/introduction",etherscan,etherscan,,,company/etherscan,,FALSE,
etherspot-prime,Etherspot Prime,etherspot-prime.png,"Account and chain abstraction platform (ERC-4337/ERC-7579) providing the Prime SDK and TransactionKit for deploying smart wallet experiences with social login and batched transactions across EVM chains.","https://etherspot.io","https://etherspot.fyi/prime-sdk/intro",etherspot,etherspot,GAkYj6m5Uh,etherspot,company/etherspotsdk,info@etherspot.io,FALSE,
ethglobal,EthGlobal,ethglobal.png,"Ethereum hackathon and events organization that has run 95+ hackathons and summits, onboarded 150,000+ community members, and distributed over $13.5M in grants to ecosystem projects.","https://ethglobal.com/",,ethglobal,ethglobal,,,,hello@ethglobal.com,FALSE,
ethplorer,Ethplorer,ethplorer.png,"Ethereum ERC-20 token explorer providing address balance tracking, transfer history, price charts, market data, wallet monitoring alerts, and a public API.","https://ethplorer.io/",,ethplorer,,,EthplorerChannel,,,FALSE,
ethtx,EthTx,ethtx.png,"Python library for decoding Ethereum transactions into human-readable format, exposing smart contract function calls, token transfers, and internal call traces.",,,,EthTx/ethtx,,,,,FALSE,
ethui,Ethui,ethui.png,Ethereum development toolkit providing local-first environment for smart contract interaction and testing,"https://ethui.dev/","https://ethui.dev/docs/getting-started/what-is-ethui",ethuidev,ethui/ethui,,,,,FALSE,
ethvm,EthVM,ethvm.png,"Ethereum blockchain explorer powered by MyEtherWallet (MEW), providing transaction, address, and block data browsing with MEW wallet integration.","https://www.ethvm.com/",,myetherwallet,EthVM/EthVM,,myetherwallet,company/myetherwallet,,FALSE,
evm-toolkit,EVM Toolkit,evm-toolkit.png,"Open-source toolkit for the Ethereum Virtual Machine providing assembler (eas) and disassembler (disease) utilities for creating and analyzing EVM bytecode.","https://quilt.github.io/etk/",,,,,,,,FALSE,
evm2,EVM2,evm2.png,"Experimental EVM interpreter implemented within the EVM itself (evm-squared), written in Huff as a proof-of-concept for running an EVM inside another EVM.",,,,hananbeer/evm2,,,,,FALSE,
evmdis,Evmdis,evmdis.png,Ethereum Virtual Machine disassembler that translates EVM bytecode into readable assembly instructions for inspection of compiled smart contract code.,,,,Arachnid/evmdis,,,,,FALSE,
evmole,Evmole,evmole.png,"Multi-language library (JavaScript, Rust, Python, Go) that extracts function selectors, arguments, state mutability, and storage layout from EVM bytecode, including for unverified contracts.",,,,cdump/evmole,,,,,FALSE,
exekerey,Exekerey,exekerey.png,Model Context Protocol server for querying blockchain data from 48 blockchains via 3xpl blockchain explorer API,"https://github.com/exekerey/3xpl-mcp","https://github.com/exekerey/3xpl-mcp",,exekerey/3xpl-mcp,,,,,FALSE,
exodus,Exodus,exodus.png,"Self-custodial software wallet for managing, exchanging, and securing cryptocurrencies across multiple blockchains and 300+ assets, available on desktop and mobile.","https://www.exodus.com/","https://docs.exodus.com/",exodus,ExodusMovement,exodus,,company/exodus-io,support@exodus.com,FALSE,
failsafe,FailSafe,failsafe.png,Web3 security platform providing continuous security testing and vulnerability detection powered by graph-based threat models and AI,"https://getfailsafe.com/",,getfailsafe,failsafesecurity,,getfailsafe_bot,company/failsafesecurity,,FALSE,
fearless,Fearless,fearless.png,"Non-custodial multi-chain DeFi wallet supporting 80+ networks including Polkadot, Kusama, TON, Ethereum, and EVM chains, with staking, swaps, and portfolio management.","https://fearlesswallet.io/",,fearlesswallet,,,fearlesswallet,,,FALSE,
fiat24,Fiat24,fiat24.png,"Swiss-licensed fintech built on Arbitrum providing tokenized banking with Swiss IBAN accounts, debit cards, and crypto-to-fiat top-up and off-ramp services via NFT-based Web3 identity.","https://www.fiat24.com/","https://docs.fiat24.com/",Fiat24Official,,,fiat24bot,company/fiat24,,FALSE,
fift,Fift,fift.png,"Low-level stack-based programming language for the TON Virtual Machine (TVM), designed for tooling, scripts, and advanced smart contract development.","https://blog.ton.org/","https://blog.ton.org/introduction-to-fift",,,,,,,FALSE,
fil-one,Fil One,fil-one.png,"S3-compatible object storage backed by Filecoin, with flat per-terabyte pricing, no egress fees on paid plans, and built-in content verification.","https://www.fil.one/","https://docs.fil.one/",,FilecoinFoundationWeb/filone-docs,,,,,FALSE,
filebase,Filebase,filebase.png,"It provides Smart storage that never breaks your links or your budget","https://filebase.com","https://filebase.com/docs/",filebase,filebase,4zAat3jKht,,,hello@filebase.com,FALSE,
filecoin,Filecoin,filecoin.png,"Decentralized storage network enabling secure, distributed storage of files and data on a blockchain basis","https://filecoin.io/","https://docs.filecoin.io/",Filecoin,filecoin-project,yeQ2hcd2TD,filecoin,,,FALSE,
filecoin-onchain-cloud,Filecoin Onchain Cloud,filecoin-onchain-cloud.png,"Decentralized, programmable cloud platform built on Filecoin providing verifiable storage, retrieval, and onchain payments through composable services.","https://filecoin.cloud/","https://docs.filecoin.cloud/",_FilOz,FilOzone/filecoin-cloud,,,,,FALSE,
