slug,provider,offer,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
quantstamp-audit,Quantstamp,,"[""[Website](https://quantstamp.com/audits)""]","[""Smart Contract Audit"",""DeFi Security"",""Protocol Review""]","Quantstamp is a blockchain security auditor providing comprehensive smart contract audits and security assessments for DeFi protocols, Layer 1/2 networks, and NFT platforms.",Enterprise,,Custom,FALSE,FALSE,Audits,Web app,"EVM, Rust, Move, Solana","[""smart contracts"",""DeFi protocols"",""Layer 1/2 networks""]",
revoke-cash,Revoke.cash,,"[""[Website](https://revoke.cash/)"",""[Docs](https://revoke.cash/learn)""]","[""Web3 Security"",""Wallet Security"",""Token Approvals"",""Approval Management"",""Open Source""]","Free wallet-security tools for inspecting and revoking token approvals, checking exploit exposure, and managing approval-related risks on supported EVM networks.",Free,,$0,FALSE,FALSE,Security,Web app,EVM,"[""token approvals"",""permit signatures"",""exploit exposure"",""wallet security""]",
salus-audit,Salus Security,,"[""[Website](https://salusec.io/audit)""]","[""Web3 Security"",""Smart Contract Audits"",""Code Review""]",Comprehensive smart contract auditing services to identify vulnerabilities and ensure the security of decentralized applications.,Enterprise,,Custom,FALSE,FALSE,Audits,TBD,TBD,"[""smart contracts"",""dApps""]",
salus-penetration-testing,Salus Security,,"[""[Website](https://salusec.io/penetration-testing)""]","[""Web3 Security"",""Penetration Testing"",""Ethical Hacking""]",Advanced penetration testing to simulate real-world cyber attacks and uncover vulnerabilities in Web3 infrastructure and applications.,Enterprise,,Custom,FALSE,FALSE,Penetration Testing,TBD,TBD,"[""infrastructure"",""dApps"",""wallets""]",
salus-zk-solution,Salus Security,,"[""[Website](https://salusec.io/zk-solutions)""]","[""Zero Knowledge"",""ZK Proofs"",""Cryptography Security""]","Specialized security assessments and development solutions for Zero-Knowledge (ZK) circuits, proofs, and cryptographic implementations.",Enterprise,,Custom,FALSE,FALSE,Audits,TBD,TBD,"[""zk circuits"",""cryptography""]",
scam-sniffer-enterprise,Scam Sniffer,,"[""[Buy](https://www.scamsniffer.io/#pricing)""]","[""Phishing Protection"",""Anti-scam solutions"",""Web3 Security"",""Threat Detection""]","Protects Web3 users by identifying malicious domains, addresses, and phishing signatures in real-time before transactions are signed",Enterprise,,Custom,FALSE,FALSE,anti-scam protection,Web app,,"[""signature security"",""safe browsing"",""token approvals""]",
scam-sniffer-standard,Scam Sniffer,,"[""[Buy](https://www.scamsniffer.io/#pricing)""]","[""Phishing Protection"",""Anti-scam solutions"",""Web3 Security"",""Threat Detection""]","Protects Web3 users by identifying malicious domains, addresses, and phishing signatures in real-time before transactions are signed",Tiered,Standard,$999/mo,FALSE,FALSE,anti-scam protection,Web app,,"[""signature security"",""safe browsing"",""token approvals""]",
scam-sniffer-startup,Scam Sniffer,,"[""[Website](https://www.scamsniffer.io/)""]","[""Phishing Protection"",""Anti-scam solutions"",""Web3 Security"",""Threat Detection""]","Protects Web3 users by identifying malicious domains, addresses, and phishing signatures in real-time before transactions are signed",Free,Startup,$0,FALSE,FALSE,anti-scam protection,Web app,,"[""signature security"",""safe browsing"",""token approvals""]",
sec3-x-ray-build,Sec3,,"[""[Buy](https://sec3.dev/audits)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Tiered,Build,$1.9K/mo,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
sec3-x-ray-enterprise,Sec3,,"[""[Contact](https://pro.sec3.dev/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Enterprise,,Custom,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
sec3-x-ray-essential,Sec3,,"[""[Website](https://sec3.dev/audits)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Tiered,Essential,$99/mo,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
sec3-x-ray-scale,Sec3,,"[""[Buy](https://sec3.dev/audits)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Tiered,Scale,$9.9K/mo,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
slither,Trail of Bits,Slither,"[""[Docs](https://github.com/crytic/slither/wiki)"",""[GitHub](https://github.com/crytic/slither)""]","[""Smart contract security"",""Static analysis"",""Custom analyses"",""Open source""]",Open-source static analysis framework for Solidity and Vyper with vulnerability detectors and APIs for custom analyses.,Free,,$0,FALSE,FALSE,Static analyzer,CLI,"Solidity, Vyper","[""smart contracts""]",
slowmist-audit,SlowMist,,"[""[Website](https://www.slowmist.com/service-smart-contract-security-audit.html)""]","[""Smart Contract Audit"",""Blockchain Security"",""Web3 Security""]","Smart contract security audit service combining manual review and security analysis of token, dApp, and protocol source code to identify vulnerabilities and produce an audit report.",Enterprise,,Custom,FALSE,FALSE,Audits,Web app,"EVM, Solana, Aptos, EOS, Fabric","[""smart contracts"",""dApps"",""tokens"",""DeFi protocols""]",
solhint,Protofire,Solhint,"[""[Docs](https://protofire.github.io/solhint/)"",""[GitHub](https://github.com/protofire/solhint)""]","[""Smart contract security"",""Linting"",""Static analysis"",""Open source""]",Open-source Solidity linter that enforces security rules and coding best practices before smart contract deployment.,Public,,$0,FALSE,FALSE,Static analyzer,CLI,EVM,"[""smart contracts""]",
solidityscan-enterprise,SolidityScan,,"[""[Contact](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Enterprise,,Custom,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
solidityscan-on-demand,SolidityScan,,"[""[Buy](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Pay-as-you-go,On Demand,$29.99,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
solidityscan-pro,SolidityScan,,"[""[Buy](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Tiered,Pro,$499.99/mo,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
solidityscan-starter,SolidityScan,,"[""[Buy](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Tiered,Individual,$199.99/mo,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
wake-security,Wake,,"[""[Docs](https://ack3.ai/wake/docs/latest/)"",""[GitHub](https://github.com/Ackee-Blockchain/wake)""]","[""Smart contract security"",""Testing"",""Fuzzing"",""Static analysis"",""Open source""]","Open-source Solidity development and security-testing framework with property-based fuzzing, vulnerability detectors, static analysis, and GitHub Actions integration.",Free,,$0,FALSE,FALSE,Security testing framework,CLI,Solidity,"[""smart contracts""]",
ziion-linux-distro,Ziion Linux distro,,"[""[Website](https://www.ziion.org/)""]","[""Security Testing"",""Vulnerability Assessment"",""Cybersecurity"",""Virtual Machine""]","Functions as a specialized, pre-configured provider of developer and security tools for the blockchain and Web3 ecosystem",TBD,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
