slug,provider,offer,actionButtons,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
orbiter,Orbiter Finance,,"[""[Bridge](https://orbiter.finance)"",""[Docs](https://docs.orbiter.finance)""]",Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Low cost"",""Instant confirmation""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Peer-to-peer intents & liquidity providers,,Decentralized,"[""Web UI""]","[""arbitrum"",""bnb chain"",""base"",""blast"",""ethereum"",""ink"",""linea"",""lisk"",""mode"",""optimism"",""polygon"",""redstone"",""scroll"",""solana"",""soneium"",""unichain"",""world chain"",""zora"",""zksyncera"",""eni"",""x layer"",""sui"",""celo"",""juchain"",""bob"",""story"",""manta"",""arbitrum nova"",""ape chain"",""zetachain"",""hemi"",""mint"",""hashkey"",""superseed"",""gravity"",""zero"",""rootstock"",""corn"",""superposition"",""zk fair"",""morph"",""nero"",""conflux"",""hpp"",""hyperliquid"",""paradex"",""merlin"",""katana"",""berachain"",""immutable x"",""plume"",""sophon"",""opbnb"",""kaia"",""tron"",""fuel"",""sonic"",""cyber"",""bitlayer"",""zircuit"",""starknet"",""fraxtal"",""avalanche"",""eclipse"",""core"",""ton"",""bevm"",""zklink nova"",""b² network"",""mantle"",""zksync lite"",""ronin"",""sonic svm"",""polygon zkevm"",""abstract"",""movement"",""sui"",""taiko""]",
owlto,Owlto Finance,,"[""[Bridge](https://owlto.finance)"",""[Docs](https://docs.owlto.finance)""]",Cross‑rollup Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Fast confirmation"",""Low fees""]","[""ETH"",""USDC"",""USDT""]",Gas Fee + protocol fee,TRUE,Relayer-based verification with ZK/optimistic fallback,,Partially Decentralized,"[""Web UI""]","[""eclipse"",""soneium"",""katana"",""unichain"",""ink"",""abstract"",""base"",""arbitrum"",""ethereum"",""linea"",""optimism"",""alienx"",""arbitrum nova"",""avalanche"",""berachain"",""blast"",""bnb chain"",""bob"",""core"",""cyber"",""duckchain"",""gnosis"",""gravity"",""hashkey"",""hemi"",""lens"",""lisk"",""manta"",""mantle"",""matchain"",""metis"",""mint"",""mode"",""morph"",""opbnb"",""over"",""polygon"",""polygon zkevm"",""rari"",""redstone"",""scroll"",""shape"",""solana"",""story"",""swan"",""taiko"",""u2u solaris"",""worldchain"",""x layer"",""zeta"",""zksync era"",""zero"",""zircuit"",""zora""]",
pancakeswap-bridge,PancakeSwap,Bridge,"[""[Bridge](https://bridge.pancakeswap.finance/)"",""[Docs](https://docs.pancakeswap.finance/)""]",Bridge Aggregator,NULL,NULL,TRUE,"[""Discord"",""Telegram""]",FALSE,"[""Bridge API"",""Swap API""]",,"[""Native DEX integration"",""Cross-chain Swaps""]","[""ERC-20"",""BEP-20""]",Gas Fee + 0.25% trading fee,TRUE,Secured by underlying bridge protocols (LayerZero/Axelar),"[""BlockSec"",""PeckShield""]",Decentralized,"[""PancakeSwap SDK""]","[""bnb chain"",""ethereum"",""arbitrum"",""base"",""aptos"",""solana"",""zksync era"",""linea"",""opbnb"",""monad""]",
pheasant,Pheasant Network,,"[""[Bridge](https://pheasant.network)"",""[Docs](https://docs.pheasant.network/)""]",Intent-based Cross‑chain Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Token Transfer via intents""]",,"[""Optimistic rollup architecture"",""Bridge-as-a-Service (BaaS)""]","[""ERC‑20"",""Stablecoins""]",Gas Fee + relayer fee,TRUE,Optimistic security with UMA-style dispute challenge,,Decentralized,"[""TypeScript""]","[""arbitrum"",""ethereum"",""morph"",""optimism"",""base"",""scroll"",""unichain"",""linea"",""taiko"",""zksync era""]",
polygon-portal-native,Polygon,,"[""[Bridge](https://portal.polygon.technology/bridge)"",""[Docs](https://docs.polygon.technology/tools/wallets/portal/)""]",Native bridge,,,FALSE,,FALSE,,,,,,FALSE,,,,,,
polyhedra,Polyhedra Network,,"[""[Bridge](https://expchain.polyhedra.network/bridge)"",""[Docs](https://docs.polyhedra.network/expchain/bridge/)""]",zk‑Bridge with Zero‑Knowledge State Proofs,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Token & NFT Transfer"",""Cross‑chain Messaging""]",,"[""zk proofs for trustless state verification"",""Supports 20+ L1/L2s""]","[""ERC‑20"",""NFT""]",Gas Fee + ZK fee,TRUE,ZK proofs validate full state without trust assumptions,"[""Platform audits reported""]",Decentralized,"[""TypeScript""]","[""ethereum testnet"",""expchain testnet"",""bnb chain testnet""]",
rango,Rango,Exchange,"[""[Bridge](https://rango.exchange/)"",""[Docs](https://docs.rango.exchange/)""]",Cross-chain Bridge & Swap,NULL,NULL,FALSE,"[""Discord"",""Telegram"",""Email""]",FALSE,"[""Rango API""]","[""Analytics"",""Explorer""]","[""Aggregated multi-chain bridges and DEXs""]","[""ERC-20"",""ERC-721""]",Gas Fee,TRUE,"Validator network, Aggregated security from multiple bridges",,Decentralized,"[""JavaScript SDK""]",,
relay,Relay,,"[""[Bridge](https://relay.link/bridge?showLandingPanel=1)"",""[Docs](https://docs.relay.link/what-is-relay)""]",Cross-chain Bridge & Swap,NULL,NULL,FALSE,"[""Email""]",FALSE,"[""Relay API"",""Core API"",""Utilities API""]","[""Analytics Dashboard"",""Bridge Status API""]","[""Payments-grade reliability"",""Core use cases"",""Extended Functionality""]","[""ERC-20"",""USDT"",""BNB"",""SOL"",""ETH""]",Gas Fee,FALSE,Relayer-based approach,,Hybrid,"[""Relay SDK""]","[""somnia""]",
rhinofi,RhinoFi,,"[""[Bridge](https://app.rhino.fi/bridge)"",""[Docs](https://docs.rhino.fi/get-started/introduction)""]",Cross-chain Stablecoin Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Bridge API""]",,"[""Smart deposit API from CEXes"",""Cross-chain liquidity flows""]","[""Stablecoins""]",Gas Fee + liquidity fee,TRUE,"Liquidity-outpost pools, smart deposit routing","[""Independent audits reported""]",Partially Decentralized,"[""TypeScript""]","[""arbitrum"",""ethereum"",""polygon"",""optimism"",""bnb chain"",""avalanche"",""base"",""celo"",""gnosis"",""ink"",""kaia"",""katana"",""linea"",""mantle"",""opbnb"",""plasma"",""plume"",""scroll"",""sonic"",""taiko"",""unichain"",""zircuit"",""zksync era""]",
rocketx,RocketX,,"[""[Bridge](https://app.rocketx.exchange/swap)"",""[Website](https://www.rocketx.exchange/)""]",Cross-chain Bridge Aggregator,,,FALSE,,FALSE,"[""RocketX API""]",,,,,FALSE,,,,,,
routerprotocol,Router Protocol,,"[""[Bridge](https://routernitro.com/swap)"",""[Docs](https://docs.routerprotocol.com/)""]",Chain Abstraction,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Liquidity Aggregation""]",,"[""Multi‑chain routing""]","[""ETH"",""ERC‑20""]",Gas Fee + protocol fee,TRUE,Security via settlement chains,,Decentralized,"[""SDK"",""Web UI?""]","[""arbitrum one"",""ethereum"",""polygon"",""optimism"",""bnb chain"",""avalanche"",""base"",""berachain"",""bitcoin"",""hyperliquid"",""linea"",""mantle"",""router chain"",""solana"",""sonic"",""sui"",""tron"",""unichain"",""world chain""]",
rubic,Rubic,,"[""[Bridge](https://rubic.exchange)"",""[Docs](https://docs.rubic.finance/)""]",Bridge Aggregator,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Bridge API"",""Swap API""]",,"[""15k+ tokens"",""100+ chains supported""]","[""ETH"",""ERC‑20""]",Depends on underlying bridge,TRUE,Security inherited from selected bridge,,,"[""JS SDK"",""Web UI""]","[""polygon"",""bnb chain"",""tron"",""unichain"",""bitcoin"",""solana"",""base"",""arbitrum"",""ethereum"",""linea"",""optimism"",""zksync era"",""ton"",""avalanche"",""berachain"",""blast"",""scroll"",""morph"",""fraxtal"",""soneium"",""mode"",""mantle"",""metis"",""manta pacific"",""fantom"",""zkevm"",""pulsechain"",""taiko"",""hemi"",""filecoin"",""x layer"",""bahamut"",""dash"",""monero"",""cardano"",""cosmos"",""litecoin"",""xrp ledger"",""aptos"",""polkadot"",""stellar"",""near"",""zilliqa"",""tezos"",""xdc"",""kava cosmos"",""neo"",""gnosis"",""flare""]",
safeswap,SafeSwap,,"[""[Bridge](https://app.safeswap.io/)"",""[Docs](https://docs.safeswap.io/)""]",Atomic Swap Native Token Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Token Transfer""]",,"[""Atomic swaps peer-to-peer"",""No wrapped tokens""]","[""Native EVM tokens""]",Gas Fee,FALSE,"Atomic swap locks/unlocks between user wallets, no liquidity pools","[""Audit referenced on GitHub""]",Decentralized,"[""TypeScript""]","[""arbitrum"",""ethereum"",""bnb chain"",""optimism"",""base"",""polygon"",""avalanche"",""vechain"",""rollux""]",
smolrefuel,SmolRefuel,,"[""[Bridge](https://smolrefuel.com)"",""[Docs](https://docs.smolrefuel.com)""]",Gas Refuel Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Gas Token Swap""]",,"[""Gas refueling across 80+ chains"",""Swap any token to gas without pre-funding""]","[""ETH"",""ERC‑20""]",Gas Fee swap model,FALSE,"Non-custodial, gas-only utility",,Decentralized,"[""TypeScript""]","[""og"",""abstract"",""adventure layer"",""ailayer"",""apechain"",""aptos"",""arbitrum nova"",""arbitrum one"",""astar"",""aurora"",""avalanche"",""b² network"",""base"",""beam"",""berachain"",""bevm"",""bitlayer"",""blast"",""bob"",""boba"",""botanix"",""bnb chain"",""callisto"",""camp"",""celo"",""civitia"",""coredao"",""corn"",""cronos"",""cronoszkevm"",""cyber"",""debank"",""degen"",""derive"",""dogechain"",""dymension"",""echelon"",""eclipse"",""embr"",""endurance"",""ethereum"",""etherlink"",""ethw"",""evmos"",""exsat"",""flame"",""flare"",""flow evm"",""fluence"",""forma"",""fraxtal"",""fuse"",""gatelayer"",""gnosis"",""goat"",""gravity"",""ham"",""harmony"",""hashkey"",""hemi"",""hyperliquid"",""hyperliquid evm"",""immutable zkevm"",""initia"",""injective"",""ink"",""katana"",""kava"",""klaytn"",""lens"",""linea"",""lisk"",""lukso"",""manta"",""mantle"",""matchain"",""merlin"",""metal"",""metis"",""mezo"",""milkyway"",""mint"",""mode"",""moonbeam"",""moonriver"",""morph"",""neon evm"",""nibiru"",""numbers"",""oasys"",""opbnb"",""optimism"",""optopia"",""peaq"",""plasma"",""plume"",""polygon"",""polygon zkevm"",""polynomial"",""prom"",""pulsechain"",""rari"",""ronin"",""rootstock"",""saakuru"",""sanko"",""satoshivm"",""scroll"",""sei"",""shaper"",""silicon"",""skate"",""solana"",""somnia"",""soneium"",""sonic"",""sophon"",""story"",""sui"",""superposition"",""superseed"",""swan"",""swell"",""syndicate frame"",""taiko"",""telos"",""thundercore"",""tron"",""unichain"",""unit0"",""vana"",""viction"",""vizing"",""wemix"",""world chain"",""x layer"",""xai"",""xdc"",""xrp"",""xrpl evm"",""zero"",""zeta"",""zircuit"",""zkcandy"",""zkfair"",""zklink nova"",""zksync era"",""zora""]",
socket,Socket,Socket,"[""[Docs](https://docs.socket.tech/)""]",Cross-chain Routing,NULL,NULL,FALSE,"[""discord""]",FALSE,"[""REST""]","[""SocketScan""]","[""Chain Abstraction""]","[""ERC-20"",""Stablecoins""]",Route-dependent fees,FALSE,,,,,"[""ethereum"",""base"",""arbitrum"",""optimism"",""polygon"",""bnb chain"",""avalanche"",""solana""]",
squid,Squid,,"[""[Bridge](https://app.squidrouter.com/)"",""[Docs](https://docs.squidrouter.com)""]",Cross‑chain Swaps (via Axelar GMP),NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Swaps"",""Messaging""]",,"[""Composable Cross‑chain Contracts""]","[""ETH"",""ERC‑20""]",Gas Fee + relayer fee,TRUE,Secured via Axelar network,,Decentralized,"[""TypeScript SDK"",""Web UI""]","[""ethereum"",""bitcoin"",""solana"",""arbitrum"",""optimism"",""base"",""bnb chain"",""osmosis"",""agoric"",""akash"",""archway"",""assetmantle"",""avalanche"",""axelar"",""babylon"",""berachain"",""bitcanna"",""bitsong"",""blast"",""carbon"",""celestia"",""celo"",""chain4energy"",""cheqd"",""chihuahua"",""comdex"",""coreum"",""cosmos"",""crescent"",""dchain"",""decentr"",""desmos"",""dydx"",""dymension"",""elys"",""evmos"",""fantom"",""fetch"",""filecoin"",""flippando"",""fraxtal"",""gnosis"",""gravity bridge"",""humans.ai"",""hyperevm"",""immutable"",""impact hub"",""injective"",""irisnet"",""jackal"",""juno"",""kava evm"",""kava ibc"",""ki"",""kujira"",""kyve"",""lava"",""likecoin"",""linea"",""lum network"",""mantle"",""mars hub"",""migaloo"",""moonbeam"", ""neutron"",""ngmi chain"",""nibiru"", ""noble"",""nolus"",""omniflix"",""peaq"",""persistence"",""polygon"",""quicksilver"",""regen"",""saga mainnet"",""saga evm"",""scroll"",""secret"",""sei"",""sentinel"",""sommelier"", ""soneium"",""sonic"",""soundmoney"",""stargaze"",""stellar"",""stride"",""sui"",""teritory"",""terra"",""terra classic"",""umee"",""xion"",""xrpl"",""xrpl evm""]",
stargate,Stargate Finance,,"[""[Bridge](https://stargate.finance/)"",""[Docs](https://stargateprotocol.gitbook.io/stargate/)""]",Omnichain Liquidity Layer,NULL,NULL,TRUE,"[""Discord"",""Email""]",FALSE,"[""REST API"",""GraphQL""]","[""Pooled Liquidity Transfers"",""OFT Cross-chain Transfers""]","[""Unified Liquidity Pools"",""Low-Fee (0.06%)"",""OFT Support""]","[""ETH"",""USDC"",""USDT"",""ERC‑20"",""OFT""]","Gas Fee, Protocol Fee",TRUE,Decentralized pools secured by LayerZero consensus,"[""Audit(s) by DeFi teams""]",Decentralized,"[""TypeScript""]","[""base"",""plasma"",""arbitrum"",""optimism"",""linea"",""ethereum"",""unichain"",""soneium"",""hyperliquid"",""solana"",""og"",""abstract"",""ape"",""abstract"",""aptos"",""near"",""avalanche"",""berachain"",""blast"",""bnb chain"",""bob"",""botanix"",""celo"",""core"",""corn"",""cronos"",""cyber"",""degen"",""edu"",""ethereal"",""etherlink"",""fantom"",""flare"",""flow"",""fraxtal"",""fuse"",""glue"",""gnosis"",""goat"",""gravity"",""hedera"",""hemi"",""hyperevm"",""ink"",""iota"",""kaia"",""katana"",""kava"",""lightlink"",""lisk"",""manta"",""mantle"",""metis"",""mode"",""moonbeam"",""moon"",""morph"",""nibiru"",""opbnb"",""peaq"",""plume"",""polygon"",""zkevm"",""rari"",""rootstock"",""sanko"",""scroll"",""sei"",""somnia"",""sonic"",""soph"",""story"",""sui"",""superposition"",""swell"",""tac"",""taiko"",""telosevm"", ""ton"",""tron"",""vana"",""viction"",""worldchain"",""x layer"",""xdc"",""xpla"",""zircuit"",""zksync"",""zkverify"",""zora""]",
starkware,StarkWare,,"[""[Bridge](https://starkgate.starknet.io/)""]",Native L1↔L2 Token Bridge,NULL,NULL,TRUE,"[""Email"",""Bridge UI""]",FALSE,"[""Deposit"",""Withdrawal""]",,"[""Starknet Messaging"",""ETH & ERC-20 Support""]","[""ETH"",""ERC-20""]",Gas Fee,TRUE,Official StarkWare implementation,"[""Starknet Audits""]",Partially Decentralized,"[""Cairo""]","[""ethereum"",""bitcoin"",""solana""]",
superbridge,Superbridge,,"[""[Bridge](https://superbridge.app/)"",""[Docs](https://docs.superbridge.app/)""]",Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Native USDC via CCTP"",""Easy Mode withdrawals""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Economic security via OP‑Stack / Nitro and CCTP for USDC,,Decentralized,"[""Web UI"",""SDK CLI?""]","[""ethereum"",""base"",""bnb chain"",""arbitrum one"",""unichain"",""optimism"",""soneium"",""linea"",""world chain"",""ink"",""celo"",""swellchain"",""superseed"",""bob"",""mode"",""zora"",""lisk"",""redstone"",""hashkey"",""ethernity"",""mint"",""swan"",""orderly"",""shape"",""derive"",""settlus"",""cyber"",""arena z"",""polynomial"",""lumio"",""funki"",""automata"",""ancient8"",""metal l2""]",
symbiosis,Symbiosis,,"[""[Bridge](https://app.symbiosis.finance/)"",""[Docs](https://docs.symbiosis.finance/)""]",Cross‑chain AMM Swap Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Bridge""]",,"[""Aggregated liquidity across networks""]","[""ETH"",""USDC"",""ARB""]",Gas Fee + protocol fee,TRUE,Security via canonical chains,"[""Trail of Bits""]",Decentralized,"[""Web UI"",""SDK""]","[""ethereum"",""bitcoin"",""solana"",""tron"",""bnb chain"",""arbitrum one"",""base"",""abstract"",""apechain"",""arbitrum nova"",""avalanche"",""b² network"",""bahamut"",""berachain"",""blast"",""boba eth"",""core"",""cronos"",""cronos zkevm"",""fraxtal"",""gnosis"",""gravity"",""hyperevm"",""katana"",""kava"",""linea"",""manta"",""mantle"",""merlin"",""metis"",""mode"",""morph"",""opbnb"",""optimism"",""plasma"",""polygon"",""polygon zkevm"",""rootstock"",""scroll"",""sei v2"",""solana"",""soneium"",""sonic"",""symbiosis"",""taiko"",""telos"",""ton"",""unichain"",""zetachain"",""zklink"",""zksync era""]",
synapse,Synapse Protocol,,"[""[Bridge](https://synapseprotocol.com/)""]",Cross-chain Asset & Messaging Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Cross-chain Contract Calls""]",,"[""Generalized Messaging"",""Token Swap""]","[""ERC-20"",""Stablecoins""]",Gas Fee + Bridge Fee,TRUE,Liquidity pools with smart contract messaging,"[""Security Audits Available""]",Decentralized,"[""TypeScript""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""hyberevm"",""optimism"",""berachain"",""unichain"",""world chain"",""base"",""blast"",""bnb chain"",""linea"",""scroll"",""dfk chain"",""canto"",""fantom"",""klaytn"",""aurora"",""boba"",""cronos"",""harmony"",""metis"",""dogechain"",""moonbeam"",""moonriver"",""hyperliquid""]",
thorswap,SwapKit,,"[""[Website](https://app.thorswap.finance/)""]","Cross-chain, Native Swap, DeFi",NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""SwapKit API""]",,"[""Streaming & Boosted Swaps"",""DEX Aggregation"",""Approval-less Swaps""]","[""ETH"",""BTC"",""LTC"",""DOGE""]",Gas Fee,TRUE,Decentralized cross-chain exchange (DEX) aggregator,,Decentralized,"[""TypeScript"",""JavaScript""]",,
ton-bridge,TON,,"[""[Bridge](https://bridge-v3.ton.org/)""]",Cross‑chain Bridge,NULL,NULL,FALSE,"[""Telegram""]",FALSE,"[""Bridge API""]",,"[""Decentralized oracle-based validation"",""Inbound and outbound transfers""]","[""Stablecoins"",""ERC-20"",""DAI"",""Toncoin""]",1-5 TON + Gas fee,TRUE,"Decentralized oracles, slashing penalties, time locks and challenges",,Decentralized,"[""TypeScript"",""JavaScript""]","[""ethereum"",""ton"",""bnb chain""]",
transporter,Transporter,,"[""[Bridge](https://app.transporter.io/?tab=token)""]",CCIP Cross-Chain Communication & Asset Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Token Transfer"",""Cross-chain Messaging""]",,"[""Powered by Chainlink CCIP"",""Enterprise-grade cross-chain integration""]","[""ERC‑20"",""Stablecoins"",""NFT""]",Gas Fee + relayer fee,TRUE,Security via Chainlink decentralized oracle network,,Decentralized,"[""TypeScript""]","[""ethereum"",""bitcoin"",""solana"",""arbitrum one"",""avalanche"",""base"",""berachain"",""blast"",""bnb chain"",""bob"",""celo"",""gnosis"",""hashkey"",""linea"",""mantle"",""metis"",""mind network"",""mode"",""optimism"",""polygon"",""ronin"",""scroll"",""sei"",""soneium"",""sonic"",""unichain"",""wemix"",""worldcoin"",""zircuit"",""zksync era""]",
universalx,UniversalX,,"[""[Site](https://universalx.app)"",""[Docs](https://universalx.app)""]",Chain‑agnostic Trading Platform (no classical bridge),NULL,NULL,FALSE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Token Purchase""]",,"[""Unified balance across chains"",""Pay gas with any token""]","[""USDT"",""USDC"",""ERC‑20""]",Swap/Trade fees,FALSE,"Chain abstraction, no bridge needed",,Decentralized,"[""TypeScript""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""bnb chain"",""optimism"",""solana"",""base""]",
utexo,Utexo,,"[""[Bridge](https://bridge.utexo.com/)"",""[Docs](https://docs.utexo.com/)""]",Cross-chain Messaging,,,FALSE,"[""Discord"",""Email""]",FALSE,"[""Cross-chain Messaging"",""Asset Transfer""]","[""Custom Dashboards""]","[""Multi-chain Liquidity"",""Fast Transfers""]","[""USDC"",""USDT"", ""AAVE"", ""DAI"", ""ETH"", ""LINK""]",Gas Fee,TRUE,Secured by decentralized validators,"[""Audit by Halborn, 2024"", ""Audit by Hacken, 2024""]",Decentralized,"[""TypeScript""]",,
valuerouter,ValueRouter,,"[""[Bridge](https://app.valuerouter.com)"",""[Docs](https://docs.valuerouter.com/)""]",Bridge Aggregator,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Routing"",""Swap + Bridge""]",,"[""Best-route optimization"",""Multi-bridge support""]","[""ETH"",""ERC‑20""]",Gas Fee + routing fee,TRUE,Security depends on routed bridge,,,"[""Web UI""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""cosmos"",""optimism"",""solana"",""base""]",
veda,Veda,,"[""[Site](https://veda.tech)"",""[Docs](https://veda.tech)""]",Intent-based Cross-chain Bridge & Messaging,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Contract Calls""]",,"[""Enterprise-grade SDK"",""Permissioned messaging""]","[""ERC‑20"",""Stablecoins"",""Data""]",Gas Fee + protocol fee,TRUE,Intent settlement with dispute module,,Decentralized,"[""TypeScript""]","[""ethereum"",""solana"",""base""]",
wanchain,Wanchain,,"[""[Bridge](https://bridge.wanchain.org/AssetBridge)"",""[Docs](https://docs.wanchain.org/)""]",Asset Bridge,NULL,NULL,TRUE,"[""Telegram"",""Email"",""Discord""]",FALSE,"[""Asset Transfer""]","[""Bridge Monitoring""]","[""Cross-chain asset bridging"",""WAN token discounts""]","[""ERC-20: USDT""]","10.2%, min. 0.2 USD, has discounts up to 80% based on WAN token holdings",TRUE,Secured via Wanchain validators and smart contracts,"[""Regular audits""]",Decentralized,"[""Node.JS SDK""]","[""ethereum"",""bnb chain"",""polygon"",""avalanche"",""astar"",""sonic"",""unichain"",""world chain"",""wanchain"",""bitcoin"",""arbitrum"",""base"",""bitrock"",""blast"",""cardano"",""celo"",""dogecoin"",""energi"",""fantom"",""kava"",""linea"",""litecoin"",""metis"",""moonbeam"",""moonriver"",""noble"",""okt chain"",""optimism"",""odyssey"",""plyr"",""polkadot"",""polygon zkevm"",""shido"",""solana"",""songbird"",""sui"",""telos"",""tron"",""vechain"",""vinuchain"",""x layer"",""xdc"",""xrp ledger"",""edexa"",""f(x) core"",""zksync era""]",
wormhole,Wormhole,,"[""[Bridge](https://portalbridge.com/)"",""[Docs](https://wormhole.com/docs/)""]",Generic Messaging & Asset Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Cross-chain Messaging""]",,"[""Guardian network of validators"",""VAA attestations""]","[""ERC-20"",""OFT"",""NFT""]",Gas Fee,TRUE,Independent guardian set across ~30 chains,"[""Audits + bug bounty""]",Decentralized,"[""TypeScript""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""sui"",""optimism"",""solana"",""base"",""hyperevm"",""bnb chain"",""unichain"",""celo"",""moonbeam"",""kaia"",""scroll"",""berachain"",""mezo"",""aptos"",""world chain"",""ink"",""linea"",""sonic"",""seievm"",""plume"",""xrpl evm"",""creditcoin""]",
zkbridge,zkBridge,,"[""[Bridge](https://zkbridge.com/token)"",""[Docs](https://docs.zkbridge.com/)""]",Omnichain Messaging & OFT,NULL,NULL,TRUE,"[""Discord"",""Email""]",FALSE,"[""REST API""]","[""Custom Dashboards""]","[""Zero-Knowledge Verification""]","[""FLR"",""SGB"",""ERC-20""]",Gas Fee,TRUE,ZK-proof based security,,Decentralized,"[""TypeScript""]","[""ethereum"",""polygon"",""linea"",""base"",""bnb chain"",""opbnb"",""arbitrum one"",""optimism""]",
